# ROVehicleHelicopter  maxHandle=122
   h  class                  kind name                               type                   netindex
  96  ROVehicleHelicopter    func ServerBreakLeftSkid                (rpc)                  ni=35505
  97  ROVehicleHelicopter    func ServerBreakRightSkid               (rpc)                  ni=35506
  98  ROVehicleHelicopter    prop bAutoHover                         bool                   ni=59148
  99  ROVehicleHelicopter    prop bBrokeLeftSkid                     bool                   ni=59149
 100  ROVehicleHelicopter    prop bBrokeRightSkid                    bool                   ni=59150
 101  ROVehicleHelicopter    prop bCanopyShattered                   bool                   ni=59151
 102  ROVehicleHelicopter    prop bCopilotActive                     bool                   ni=59152
 103  ROVehicleHelicopter    prop bEngineOn                          bool                   ni=59159
 104  ROVehicleHelicopter    prop bIncomingMissile                   bool                   ni=59166
 105  ROVehicleHelicopter    prop bInSpawnProtection                 bool                   ni=59168
 106  ROVehicleHelicopter    prop bUseAdvancedFlightModel            bool                   ni=59181
 107  ROVehicleHelicopter    prop HelicopterArrayIndex               byte                   ni=59330
 108  ROVehicleHelicopter    prop HittingCanopyVolumeStatus          byte[2]                ni=59331
 109  ROVehicleHelicopter    prop VehHitZoneHealths                  byte[55]               ni=59334
 110  ROVehicleHelicopter    prop VehHitZoneHealthsChanged           byte                   ni=59335
 111  ROVehicleHelicopter    prop CurrentRPM                         float                  ni=60072
 112  ROVehicleHelicopter    prop DesiredRPM                         float                  ni=60073
 113  ROVehicleHelicopter    prop KeyForward                         float                  ni=60098
 114  ROVehicleHelicopter    prop KeyStrafe                          float                  ni=60099
 115  ROVehicleHelicopter    prop KeyTurn                            float                  ni=60100
 116  ROVehicleHelicopter    prop KeyUp                              float                  ni=60101
 117  ROVehicleHelicopter    prop MouseLookUp                        float                  ni=60124
 118  ROVehicleHelicopter    prop MouseTurn                          float                  ni=60125
 119  ROVehicleHelicopter    prop VolumeHeloTrainingRespawnTime      float                  ni=60148
 120  ROVehicleHelicopter    prop MouseTurnMode                      int                    ni=60554
 121  ROVehicleHelicopter    prop StartResupplyTime                  int                    ni=60560
