   0 Actor                  func DemoRecordSound ni=495
  80 PlayerController       func ServerSuicide ni=3994
  81 PlayerController       func ServerChangeName ni=4000
  82 PlayerController       func ServerChangeTeam ni=4007
  83 PlayerController       func ClientSetProgressMessage ni=4014
  84 PlayerController       func ServerNotifyLoadedWorld ni=4018
  85 PlayerController       func ClientRestart ni=4031
  86 PlayerController       func ClientGameEnded ni=4037
  87 PlayerController       func ClientSetViewTarget ni=4093
  88 PlayerController       func ServerVerifyViewTarget ni=4097
  89 PlayerController       func ServerSetSpectatorLocation ni=4281
  90 PlayerController       func ServerViewNextPlayer ni=4309
  91 PlayerController       func ServerViewPrevPlayer ni=4310
  92 PlayerController       func ServerViewSelf ni=4319
  93 PlayerController       func ClientIgnoreMoveInput ni=4555
  94 PlayerController       func ClientIgnoreLookInput ni=4557
  95 PlayerController       func ClientDrawKismetText ni=4631
  96 PlayerController       func ClientClearKismetText ni=4634
  97 PlayerController       func ServerCauseEvent ni=4647
  98 PlayerController       func ServerRemoteEvent ni=4655
  99 PlayerController       func ClientPlayForceFeedbackWaveform ni=4670
 100 PlayerController       func ClientStopForceFeedbackWaveform ni=4672
 101 PlayerController       func ClientSetCinematicMode ni=4691
 102 PlayerController       func ClientForceGarbageCollection ni=4704
 103 PlayerController       func ClientUpdateLevelStreamingStatus ni=4714
 104 PlayerController       func ServerUpdateLevelVisibility ni=4717
 105 PlayerController       func ClientPrepareMapChange ni=4722
 106 PlayerController       func ClientCommitMapChange ni=4724
 107 PlayerController       func ClientCancelPendingMapChange ni=4725
 108 PlayerController       func ClientFlushLevelStreaming ni=4726
 109 PlayerController       func ClientSetBlockOnAsyncLoading ni=4727
 110 PlayerController       func ClientSetOnlineStatus ni=4757
 111 PlayerController       func ClientVoiceHandshakeComplete ni=4761
 112 PlayerController       func ClientMutePlayer ni=4764
 113 PlayerController       func ClientUnmutePlayer ni=4768
 114 PlayerController       func ClientGameplayMute ni=4773
 115 PlayerController       func ClientGameplayUnmute ni=4776
 116 PlayerController       func ServerMutePlayer ni=4785
 117 PlayerController       func ServerUnmutePlayer ni=4789
 118 PlayerController       func ClientWasKicked ni=4797
 119 PlayerController       func ClientRegisterForArbitration ni=4798
 120 PlayerController       func ServerRegisteredForArbitration ni=4803
 121 PlayerController       func ClientArbitratedMatchEnded ni=4834
 122 PlayerController       func ClientWriteOnlinePlayerScores ni=4843
 123 PlayerController       func ClientWriteLeaderboardStats ni=4845
 124 PlayerController       func ClientSetHostUniqueId ni=4847
 125 PlayerController       func ClientStopNetworkedVoice ni=4849
 126 PlayerController       func ClientStartNetworkedVoice ni=4851
 127 PlayerController       func AddDebugText ni=4874
 128 PlayerController       func RemoveDebugText ni=4877
 129 PlayerController       func RemoveAllDebugStrings ni=4878
 130 PlayerController       func ClientRegisterHostStatGuid ni=4880
 131 PlayerController       func ServerRegisterClientStatGuid ni=4885
 132 PlayerController       func ClientStartOnlineGame ni=4887
 133 PlayerController       func ClientEndOnlineGame ni=4889
 134 PlayerController       func ClientTravelToSession ni=4948
 135 PlayerController       func ClientReturnToParty ni=4955
 136 PlayerController       func ClientControlMovieTexture ni=4982
 137 PlayerController       func ClientSetForceMipLevelsToBeResident ni=4986
 138 PlayerController       func ClientPrestreamTextures ni=4991
 139 PlayerController       func ClientPlayCameraShake ni=5019
 140 PlayerController       func ClientStopCameraShake ni=5021
 141 PlayerController       func ClientPlayCameraAnim ni=5034
 142 PlayerController       func ClientStopCameraAnim ni=5036
 143 PlayerController       func ClientSpawnCameraLensEffect ni=5039
 144 PlayerController       func ServerLogScreenShotInfo ni=5198
 145 PlayerController       prop TargetEyeHeight ni=34410
 146 PlayerController       prop TargetViewRotation ni=35024
 147 GamePlayerController   func ClientPlayMovie ni=1569
 148 GamePlayerController   func ClientStopMovie ni=1574
 149 GamePlayerController   func ClientColorFade ni=1591
 150 ROPlayerController     func ClientOnPossess ni=8404
 151 ROPlayerController     func ClientOnDead ni=8407
 152 ROPlayerController     func ChangeVivoxChannelsState ni=8413
 153 ROPlayerController     func ServerUpdatePlayerFOV ni=8430
 154 ROPlayerController     func ServerAdminLogin ni=8468
 155 ROPlayerController     func ServerAdminLogOut ni=8473
 156 ROPlayerController     func ServerAdmin ni=8478
 157 ROPlayerController     func ServerKickBan ni=8489
 158 ROPlayerController     func ServerRestartMap ni=8493
 159 ROPlayerController     func ServerChangeMap ni=8497
 160 ROPlayerController     func ServerSloMo ni=8501
 161 ROPlayerController     func ServerSetSpeed ni=8505
 162 ROPlayerController     func ServerROMutate ni=8513
 163 ROPlayerController     func ClientPlayPainEffect ni=8570
 164 ROPlayerController     func ClientPlayEffectsCameraAnim ni=8592
 165 ROPlayerController     func ClientStopEffectsCameraAnim ni=8594
 166 ROPlayerController     func ClientPlayDamageCameraAnim ni=8613
 167 ROPlayerController     func ClientStopDamageCameraAnim ni=8615
 168 ROPlayerController     func ClientCameraReset ni=8654
 169 ROPlayerController     func RemoveFromTeam ni=8655
 170 ROPlayerController     func SelectTeam ni=8660
 171 ROPlayerController     func SelectTeamFailed ni=8663
 172 ROPlayerController     func ChangedTeams ni=8675
 173 ROPlayerController     func ServerTeamLeaderTeamSwapCancelSupport ni=8678
 174 ROPlayerController     func ClientCloseUnitSelectScene ni=8683
 175 ROPlayerController     func SelectRoleByClass ni=8699
 176 ROPlayerController     func ServerEndDeadState ni=8825
 177 ROPlayerController     func ClientStartFreeCamDeath ni=8826
 178 ROPlayerController     func ServerStartFreeCamDeath ni=8828
 179 ROPlayerController     func ClientUpdateSpectatorCameraSpeed ni=8868
 180 ROPlayerController     func ServerSetThirdPersonSpectate ni=8905
 181 ROPlayerController     func ServerSetRoamingSpectate ni=8906
 182 ROPlayerController     func ServerResetSpectateMode ni=8913
 183 ROPlayerController     func ServerNextSpectateMode ni=8918
 184 ROPlayerController     func ServerViewNextTarget ni=8919
 185 ROPlayerController     func ServerViewPrevTarget ni=8920
 186 ROPlayerController     func ServerViewMapViewpoint ni=8926
 187 ROPlayerController     func ClientUpdateViewMapViewpoint ni=8934
 188 ROPlayerController     func ClientTriggerTunnelPlacement ni=9003
 189 ROPlayerController     func ClientTriggerLegInjury ni=9004
 190 ROPlayerController     func ClientTriggerJoinedSquadAsVC ni=9005
 191 ROPlayerController     func ClientTriggerMapBoundary ni=9006
 192 ROPlayerController     func ClientTriggerSpawnProtection ni=9007
 193 ROPlayerController     func ClientTriggerRPGBackBlast ni=9008
 194 ROPlayerController     func ClientTriggerHidingFromAmericanSurveillance ni=9009
 195 ROPlayerController     func ClientTriggerDestroyingEnemyTunnels ni=9010
 196 ROPlayerController     func ClientTriggerSupremacyLineIsBroke ni=9011
 197 ROPlayerController     func ClientTriggerFriendlyFire ni=9012
 198 ROPlayerController     func ClientTriggerFriendlyFirePenalty ni=9013
 199 ROPlayerController     func ClientTriggerOutOfAmmo ni=9014
 200 ROPlayerController     func ClientTriggerBleeding ni=9015
 201 ROPlayerController     func SelectSquadLeader ni=9033
 202 ROPlayerController     func ClientToggleCommandMenu ni=9047
 203 ROPlayerController     func ServerTellRadiomanInUse ni=9049
 204 ROPlayerController     func ShowPreGameServerAd ni=9063
 205 ROPlayerController     func ServerClosedServerAd ni=9064
 206 ROPlayerController     func ClientShowTeamSelect ni=9071
 207 ROPlayerController     func ClientShowRoleSelect ni=9079
 208 ROPlayerController     func ServerReOpenSpawnSelect ni=9100
 209 ROPlayerController     func ClientReOpenSpawnSelect ni=9101
 210 ROPlayerController     func ChangedRole ni=9131
 211 ROPlayerController     func ChangedSquad ni=9134
 212 ROPlayerController     func NotifyNewSquadLeader ni=9135
 213 ROPlayerController     func ServerSetVehicleLocked ni=9159
 214 ROPlayerController     func SelectRoleFailed ni=9162
 215 ROPlayerController     func SpawnInfoChanged ni=9173
 216 ROPlayerController     func UpdateReadyStatus ni=9175
 217 ROPlayerController     func ServerSquadSay ni=9190
 218 ROPlayerController     func ClientCloseLobbyScene ni=9211
 219 ROPlayerController     func ServerWinRound ni=9214
 220 ROPlayerController     func MatchWon ni=9243
 221 ROPlayerController     func ClientHideWinScreenAndShowScoreboard ni=9245
 222 ROPlayerController     func ClientShowAfterActionReport ni=9247
 223 ROPlayerController     func ClientStartRoundSession ni=9250
 224 ROPlayerController     func ClientEndRoundSession ni=9257
 225 ROPlayerController     func ClientShowRoundStartScreen ni=9260
 226 ROPlayerController     func ClientHideRoundStartScreen ni=9261
 227 ROPlayerController     func RoundWon ni=9284
 228 ROPlayerController     func DelayedShowWinScreen ni=9286
 229 ROPlayerController     func ClientShowHalfTimeScreen ni=9341
 230 ROPlayerController     func ClientCloseTeamWinScreen ni=9353
 231 ROPlayerController     func ServerSwitchTeams ni=9371
 232 ROPlayerController     func DoDeathFade ni=9377
 233 ROPlayerController     func StopDeathFade ni=9378
 234 ROPlayerController     func IsForceRespawnAvailable ni=9475
 235 ROPlayerController     func ServerReceiveTeamLeaderCommand ni=9493
 236 ROPlayerController     func ServerReceiveTeamLeaderCommandLocation ni=9502
 237 ROPlayerController     func ServerReceiveTeamLeaderCommandIndex ni=9511
 238 ROPlayerController     func ServerReceiveTeamLeaderCommandPawn ni=9520
 239 ROPlayerController     func ServerReceiveSquadLeaderCommand ni=9523
 240 ROPlayerController     func ServerReceiveSquadLeaderCommandLocation ni=9527
 241 ROPlayerController     func ServerReceiveSquadLeaderCommandIndex ni=9531
 242 ROPlayerController     func ServerReceiveSquadLeaderCommandPawn ni=9535
 243 ROPlayerController     func ServerReceiveTankCommanderCommand ni=9538
 244 ROPlayerController     func ServerReceiveTankCommanderCommandLocation ni=9542
 245 ROPlayerController     func ServerReceiveTankCommanderCommandIndex ni=9546
 246 ROPlayerController     func ServerReceiveTankCommanderCommandPawn ni=9550
 247 ROPlayerController     func ServerReceiveEnemySpotted ni=9594
 248 ROPlayerController     func ServerReceiveTunnelSpotted ni=9604
 249 ROPlayerController     func ClientReceiveEnemySpottedSlot ni=9606
 250 ROPlayerController     func ClientForceEnemySpottedUpdate ni=9613
 251 ROPlayerController     func ClientForceTunnelSpottedUpdate ni=9620
 252 ROPlayerController     func ServerAmmoRequest ni=9632
 253 ROPlayerController     func ClientReceiveResupplyInfoSingleViaWeapon ni=9636
 254 ROPlayerController     func ClientReceiveResupplyInfoSingle ni=9639
 255 ROPlayerController     func ClientReceiveResupplyInfo ni=9641
 256 ROPlayerController     func ServerConfirmOrder ni=9658
 257 ROPlayerController     func ServerDenyOrder ni=9661
 258 ROPlayerController     func ServerDenyAutoRespawn ni=9663
 259 ROPlayerController     func ServerUpdateTrack ni=9665
 260 ROPlayerController     func ToggleMusic ni=9672
 261 ROPlayerController     func ServerSetSpawnSelect ni=9679
 262 ROPlayerController     func ClientTempStopAutoSpawn ni=9680
 263 ROPlayerController     func ClientAlertDeadSquadLeader ni=9681
 264 ROPlayerController     func SetSpawnOption ni=9687
 265 ROPlayerController     func SetHUDSpawnPenalty ni=9700
 266 ROPlayerController     func ClientStopZoom ni=9717
 267 ROPlayerController     func ServerSetHonorLevel ni=9782
 268 ROPlayerController     func ClientNotifyHonorLevelChanged ni=9784
 269 ROPlayerController     func UpdateXmasUnlocks ni=9785
 270 ROPlayerController     func ServerStartVoiceChat ni=9827
 271 ROPlayerController     func ServerStartTeamVoiceChat ni=9830
 272 ROPlayerController     func ServerStartSquadVoiceChat ni=9834
 273 ROPlayerController     func ServerStartCommandVoiceChat ni=9837
 274 ROPlayerController     func ServerStartVehicleVoiceChat ni=9842
 275 ROPlayerController     func ServerStopVoiceChat ni=9846
 276 ROPlayerController     func ServerStartSpatializedVoiceChat ni=9847
 277 ROPlayerController     func TriggerVOIPEventByUniqueNetId ni=9868
 278 ROPlayerController     func ServerUseReleasePlayer ni=9896
 279 ROPlayerController     func ServerStopBandage ni=9904
 280 ROPlayerController     func ServerAttemptMantle ni=9949
 281 ROPlayerController     func ClientIgnoreChangingSeatsInput ni=9966
 282 ROPlayerController     func ClientIgnoreChangingPositionsInput ni=9972
 283 ROPlayerController     func ClientIgnoreFiringInput ni=9978
 284 ROPlayerController     func ServerEnableFocus ni=10011
 285 ROPlayerController     func StartSeatChangeMessage ni=10071
 286 ROPlayerController     func StopSeatChangeMessage ni=10072
 287 ROPlayerController     func ClientStartExitVehicleFadeOut ni=10074
 288 ROPlayerController     func ClientStartExitVehicleFadeIn ni=10075
 289 ROPlayerController     func StartHeloRearmMessage ni=10080
 290 ROPlayerController     func UpdateHeloReArmTime ni=10082
 291 ROPlayerController     func StopHeloRearmMessage ni=10083
 292 ROPlayerController     func PulseHeloRearmMessage ni=10085
 293 ROPlayerController     func NotifyPilotKilled ni=10087
 294 ROPlayerController     func ServerDriveWeaponEx ni=10178
 295 ROPlayerController     func ClientDrawLine ni=10195
 296 ROPlayerController     func ClientDrawSphere ni=10200
 297 ROPlayerController     func MantleServerMove ni=10288
 298 ROPlayerController     func RMServerMove ni=10298
 299 ROPlayerController     func CoverServerMove ni=10314
 300 ROPlayerController     func ServerLeanRight ni=10331
 301 ROPlayerController     func ServerLeanLeft ni=10336
 302 ROPlayerController     func ClientSavePendingWeaponConfig ni=10387
 303 ROPlayerController     func ClientUpdatePaperdollLastHitZoneInfo ni=10390
 304 ROPlayerController     func CacheDeathBlow ni=10392
 305 ROPlayerController     func ServerFollow ni=10395
 306 ROPlayerController     func ServerDoSpecialMove ni=10458
 307 ROPlayerController     func ServerEndSpecialMove ni=10460
 308 ROPlayerController     func ClientDictatedSpecialMove ni=10464
 309 ROPlayerController     func ServerPushOutOfCover ni=10472
 310 ROPlayerController     func ClientBreakFromCover ni=10489
 311 ROPlayerController     prop LastPlaceAmmoCrateTime ni=15785
 312 ROPlayerController     prop TeamSwapDisabledTime ni=15806
 313 ROPlayerController     prop iPlantedClaymoreMineCount ni=15808
 314 ROPlayerController     prop iPlantedC4ChargeCount ni=15809
 315 ROPlayerController     prop MyMGPRI ni=15925
 316 ROPlayerController     prop NextRespawnTime ni=15927
 317 ROPlayerController     prop RepBattleChatter ni=15933
 318 ROPlayerController     prop SRIArray ni=15953
 319 ROPlayerController     prop SRI ni=15954
 320 ROPlayerController     prop RepHitInfo ni=15974
 321 ROPlayerController     prop KillCamInfo ni=15997
 322 ROPlayerController     prop DelayedKillMessages ni=16001
 323 ROPlayerController     prop ObjectiveName ni=16044
 324 ROPlayerController     prop WeaponProficiencyCurrent ni=16093
 325 ROPlayerController     prop NumPlacedAmmoCrates ni=16101
 326 ROPlayerController     prop NumPlantedTraps ni=16105
 327 ROPlayerController     prop CurrentViewpointSpectateMode ni=16127
 328 ROPlayerController     prop CurrentSpectateMode ni=16128
 329 ROPlayerController     prop SquadCapBonus ni=16130
 330 ROPlayerController     prop SquadSuppressionBonus ni=16131
 331 ROPlayerController     prop ObjectiveIndex ni=16132
 332 ROPlayerController     prop OverriddenWeaponProficiencyLevel ni=16133
 333 ROPlayerController     prop bKillerWasOnSameTeamAndHoldingNade ni=16161
 334 ROPlayerController     prop bWasHoldingLiveNadeWhenKilled ni=16162
 335 ROPlayerController     prop bCanDisarmTripwireTrap ni=16174
 336 ROPlayerController     prop bWasKilledByAA ni=16194
 337 ROPlayerController     prop bForcedSpectating ni=16202
 338 ROPlayerController     prop bIsBotCommander ni=16234
 339 ROPlayerController     func ServerCoverTransition ni=16428
 340 ROPlayerController     func ClientInvalidCoverClaim ni=16429
 341 ROPlayerController     func ClientRequestCoverTransition ni=16431
 342 ROPlayerController     func ServerAttemptDeployNoCover ni=16542
 343 ROPlayerController     func ClientStartMantle ni=16545
 344 ROPlayerController     func ClientStartDynamicMantle ni=16548
 345 ROPlayerController     func ClientCampaignWon ni=16630
 346 ROPlayerController     func ClientStartAttackDefendVote ni=16632
 347 ROPlayerController     func ClientWatchAttackDefendVote ni=16634
 348 ROPlayerController     func ServerSubmitAttackDefendVote ni=16636
 349 ROPlayerController     func ClientShowRegionTransition ni=16639
 350 ROPlayerController     func ClientResetingCampaign ni=16644
 351 ROPlayerController     func ClientCampaignInitPanelData ni=16646
 352 ROPlayerController     func ClientCampaignShowCampaignPanel ni=16648
 353 ROPlayerController     func ClientNotifyCampaignTeamBalance ni=16651
 354 ROPlayerController     func ClientNotifyCampaignTeamBalanceComplete ni=16653
 355 ROPlayerController     func ClientAskToTeamBalance ni=16655
 356 ROPlayerController     func NotifyCampaignAutoBalanced ni=16656
 357 ROPlayerController     func ClientStartRegionVote ni=16662
 358 ROPlayerController     func ServerSubmitRegionVote ni=16668
 359 ROPlayerController     func ServerSubmitRegionMapVote ni=16672
 360 ROPlayerController     func ClientStartFactionVote ni=16680
 361 ROPlayerController     func ServerSubmitFactionVote ni=16685
 362 ROPlayerController     func ClientStartSpecialAbilityVote ni=16689
 363 ROPlayerController     func ServerSubmitSpecialAbilityVote ni=16693
 364 ROPlayerController     func ClientCampaignRegionVoteComplete ni=16707
 365 ROPlayerController     func ClientCampaignRegionMapVoteComplete ni=16709
 366 ROPlayerController     func ClientCampaignFactionVoteComplete ni=16712
 367 ROPlayerController     func ClientCampaignReadyToTravel ni=16713
 368 ROPlayerController     func ClientCampaignSpecialAbilityVoteComplete ni=16715
 369 ROPlayerController     func ServerSetSpawnViewTarget ni=16722
 370 ROPlayerController     func ServerSetSpawnVolumeViewTarget ni=16724
 371 ROPlayerController     func ClientClearRadioCallin ni=16735
 372 ROPlayerController     func NotifyCommanderAbilityRequested ni=16744
 373 ROPlayerController     func NotifyAbilityActive ni=16745
 374 ROPlayerController     func ServerRequestArtillery ni=16750
 375 ROPlayerController     func ServerArtyStrike ni=16813
 376 ROPlayerController     func ServerNapalmStrike ni=16824
 377 ROPlayerController     func ServerGunshipStrike ni=16832
 378 ROPlayerController     func ServerBombingRun ni=16841
 379 ROPlayerController     func ServerClearArtyInfo ni=16881
 380 ROPlayerController     func ServerRequestAntiAir ni=16885
 381 ROPlayerController     func ServerEnableAntiAir ni=16893
 382 ROPlayerController     func ServerSaveArtilleryPosition ni=16909
 383 ROPlayerController     func ServerSaveArtilleryRequestPosition ni=16925
 384 ROPlayerController     func ServerSetStrikeDirection ni=16930
 385 ROPlayerController     func ServerRequestAerialRecon ni=16937
 386 ROPlayerController     func ServerRequestEnhancedLogistics ni=16971
 387 ROPlayerController     func UpdateELCounter ni=16986
 388 ROPlayerController     func ServerTriggerForwardScouts ni=16989
 389 ROPlayerController     func UpdateClientHUDOnPosses ni=17041
 390 ROPlayerController     func ClientSpawned ni=17048
 391 ROPlayerController     func ClientCountdownWaitingToPossess ni=17068
 392 ROPlayerController     func ShowInitialWorldWidget ni=17079
 393 ROPlayerController     func ShowObjectiveCapturedWorldWidget ni=17080
 394 ROPlayerController     func ServerThrowMGAmmo ni=17087
 395 ROPlayerController     func ShowScuttleMessage ni=17089
 396 ROPlayerController     func ServerScuttleTank ni=17093
 397 ROPlayerController     func ServerBroadcastLocalizedTeamVoiceCom ni=17115
 398 ROPlayerController     func ServerBroadcastLocalizedSquadVoiceCom ni=17121
 399 ROPlayerController     func ServerBroadcastLocalizedVoiceComToSquadLeaders ni=17127
 400 ROPlayerController     func ServerBroadcastLocalizedFireTeamVoiceCom ni=17134
 401 ROPlayerController     func ServerBroadcastLocalizedVehicleVoiceCom ni=17140
 402 ROPlayerController     func ReceiveLocalizedVoiceCom ni=17153
 403 ROPlayerController     func SetOtherTeamStartTime ni=17183
 404 ROPlayerController     func ClientPauseWwise ni=17209
 405 ROPlayerController     func ForceEscapeSceneUpdate ni=17251
 406 ROPlayerController     func ClearKickedRoles ni=17252
 407 ROPlayerController     func ServerForceDriverLeave ni=17257
 408 ROPlayerController     func SetRoleKick ni=17259
 409 ROPlayerController     func ForceVoteCooldown ni=17266
 410 ROPlayerController     func ShowKickVoteStartedMessage ni=17274
 411 ROPlayerController     func ShowKickVoteResultMessage ni=17281
 412 ROPlayerController     func CloseEscapeMenu ni=17282
 413 ROPlayerController     func ClientShowMapVotingMenu ni=17284
 414 ROPlayerController     func HandleKicked ni=17298
 415 ROPlayerController     func AddStatsKill ni=17313
 416 ROPlayerController     func AddStatsDeath ni=17314
 417 ROPlayerController     func PlayTimeEventSound ni=17331
 418 ROPlayerController     func ServerSetSelectedArtyIndex ni=17336
 419 ROPlayerController     func ClientShowRespawnWarning ni=17341
 420 ROPlayerController     func ServerDriveHelo ni=17360
 421 ROPlayerController     func ServerSetFreeLooking ni=17378
 422 ROPlayerController     func ServerSetMouseTurnMode ni=17383
 423 ROPlayerController     func ServerSetAdvancedFlightModel ni=17390
 424 ROPlayerController     func ClientAddTrap ni=17418
 425 ROPlayerController     func ClientRemoveEarliestTrap ni=17419
 426 ROPlayerController     func ClientRemovePlantedTrap ni=17421
 427 ROPlayerController     func ClientClearTraps ni=17422
 428 ROPlayerController     func ClientAddCharge ni=17424
 429 ROPlayerController     func ClientRemoveCharge ni=17432
 430 ROPlayerController     func ClientClearAllCharges ni=17433
 431 ROPlayerController     func ClientFlashTrapIndicator ni=17450
 432 ROPlayerController     func ClientFlashTunnelIndicator ni=17451
 433 ROPlayerController     func SetClientDeathSoundMode ni=17463
 434 ROPlayerController     func ServerSetReadyToSpawn ni=17466
 435 ROPlayerController     func UpdateVictoryStatus ni=17471
 436 ROPlayerController     func ServerSaveLZMarkerPosition ni=17477
 437 ROPlayerController     func ClientSetHeloADFLocation ni=17480
 438 ROPlayerController     func ShowHeloDespawnMessage ni=17482
 439 ROPlayerController     func ShowStartHeloDespawnMessage ni=17483
 440 ROPlayerController     func ServerHeloDespawn ni=17487
 441 ROPlayerController     func ServerCancelHeloDespawn ni=17489
 442 ROPlayerController     func TriggerAmbushRespawn ni=17499
 443 ROPlayerController     func NorthPlayersWaitingToSpawn ni=17506
 444 ROPlayerController     func ServerJoinSquad ni=17532
 445 ROPlayerController     func ServerLeaveSquad ni=17536
 446 ROPlayerController     func ServerLockSquad ni=17540
 447 ROPlayerController     func ServerPromoteToSL ni=17546
 448 ROPlayerController     func ClientNotifySLPromoted ni=17548
 449 ROPlayerController     func ClientNotifySLDemoted ni=17550
 450 ROPlayerController     func ServerSetSquadName ni=17556
 451 ROPlayerController     func ServerAutoSelectSquad ni=17566
 452 ROPlayerController     func ServerInvitePlayerToSquad ni=17572
 453 ROPlayerController     func ServerAttachPilotToSquad ni=17579
 454 ROPlayerController     func ServerDetachPilotFromSquad ni=17583
 455 ROPlayerController     func HandleSquadInvite ni=17588
 456 ROPlayerController     func ServerKickFromSquad ni=17594
 457 ROPlayerController     func ClientGiveSquadOrdersToPrompt ni=17597
 458 ROPlayerController     func ClientAddRequestPrompt ni=17599
 459 ROPlayerController     func ClientRemoveRequestPrompt ni=17601
 460 ROPlayerController     func ClientResetCachedVictimPromptName ni=17612
 461 ROPlayerController     func ServerUpdatePromptBoxTotalVotesNeeded ni=17615
 462 ROPlayerController     func ClientUpdatePromptBoxVotesNeeded ni=17617
 463 ROPlayerController     func UpdatePromptBoxVotes ni=17620
 464 ROPlayerController     func ResetVictimPRILocalKickVoteFlag ni=17631
 465 ROPlayerController     func ClientNotifyTeamKill ni=17646
 466 ROPlayerController     func ServerForgiveTeamKiller ni=17650
 467 ROPlayerController     func NotifyClientSwappedTeam ni=17718
 468 ROPlayerController     func ClientCloseAllScenes ni=17719
 469 ROPlayerController     func ClientSetMaxTeamSwapWaitingTime ni=17721
 470 ROPlayerController     func UnhideMessageWidget ni=17722
 471 ROPlayerController     func ClientShowLobby ni=17723
 472 ROPlayerController     func ClientCancelWaitingAllSwitchedTeamMessage ni=17728
 473 ROPlayerController     func ServerMemberSetAlias ni=17750
 474 ROPlayerController     func ServerMemberDeleteAlias ni=17754
 475 ROPlayerController     func ServerMemberAdminSignIn ni=17760
 476 ROPlayerController     func ServerMembersDebugLevel ni=17769
 477 ROPlayerController     func LogDebugDamage ni=17773
 478 ROPlayerController     func ServerSetDamageDebug ni=17776
 479 ROPlayerController     func PlayRadioSquelch ni=17777
 480 ROPlayerController     func ShowBleedingStatusNoBandages ni=17799
 481 ROPlayerController     func ShowBleedingStatusWithBandages ni=17801
