# ROGameReplicationInfo  maxHandle=184
   h  class                  kind name                               type                   netindex
  86  ROGameReplicationInfo  prop bMidGameMapVoting                  bool                   ni=31140
  87  ROGameReplicationInfo  prop bMapVotingEnabled                  bool                   ni=31141
  88  ROGameReplicationInfo  prop bIsRanked                          bool                   ni=31142
  89  ROGameReplicationInfo  prop bLegDamageSlowsPlayer              bool                   ni=31143
  90  ROGameReplicationInfo  prop bForceHeloAdvancedFlightModel      bool                   ni=31144
  91  ROGameReplicationInfo  prop bAllowHeloAutoHover                bool                   ni=31145
  92  ROGameReplicationInfo  prop bDelayCannonAmmoSwitch             bool                   ni=31146
  93  ROGameReplicationInfo  prop bClientSideHitDetection            bool                   ni=31147
  94  ROGameReplicationInfo  prop bIncreasedBreathStaminaEffects     bool                   ni=31148
  95  ROGameReplicationInfo  prop bIncreasedSuppressionEffects       bool                   ni=31149
  96  ROGameReplicationInfo  prop bDisableSpawnOnSquadLeader         bool                   ni=31150
  97  ROGameReplicationInfo  prop bDisablePeripheralActionIndicators bool                   ni=31151
  98  ROGameReplicationInfo  prop bDisablePeripheralWhips            bool                   ni=31152
  99  ROGameReplicationInfo  prop bDisableTeamDeathIcons             bool                   ni=31153
 100  ROGameReplicationInfo  prop bDisableObjectiveOverview          bool                   ni=31154
 101  ROGameReplicationInfo  prop bDisableTeamVOIPChannel            bool                   ni=31155
 102  ROGameReplicationInfo  prop bDisablePublicVOIPChannel          bool                   ni=31156
 103  ROGameReplicationInfo  prop bRespawning                        bool                   ni=31157
 104  ROGameReplicationInfo  prop bAllPlayersMustReadyUp             bool                   ni=31158
 105  ROGameReplicationInfo  prop bReadyUpDelay                      bool                   ni=31159
 106  ROGameReplicationInfo  prop bNoObjectivesCaptured              bool                   ni=31160
 107  ROGameReplicationInfo  prop bSecondHalf                        bool                   ni=31161
 108  ROGameReplicationInfo  prop bAllowDeadRoaming                  bool                   ni=31162
 109  ROGameReplicationInfo  prop bBalanceTeams                      bool                   ni=31163
 110  ROGameReplicationInfo  prop bRealisticDrivingRestrictions      bool                   ni=31165
 111  ROGameReplicationInfo  prop bRealisticPistolLoadouts           bool                   ni=31166
 112  ROGameReplicationInfo  prop bNoWeaponLimits                    bool                   ni=31167
 113  ROGameReplicationInfo  prop bNoVehicleRoles                    bool                   ni=31168
 114  ROGameReplicationInfo  prop bAlliesAreAttacking                bool                   ni=31169
 115  ROGameReplicationInfo  prop bHasExtraChance                    bool                   ni=31170
 116  ROGameReplicationInfo  prop bSuddenDeath                       bool                   ni=31171
 117  ROGameReplicationInfo  prop bOverTime                          bool                   ni=31172
 118  ROGameReplicationInfo  prop bReverseRolesAndSpawns             bool                   ni=31173
 119  ROGameReplicationInfo  prop bIsCampaignGame                    bool                   ni=31174
 120  ROGameReplicationInfo  prop AlliesSpawnProtection              obj<ROVolumeSpawnProtection>[10] ni=31177
 121  ROGameReplicationInfo  prop AxisSpawnProtection                obj<ROVolumeSpawnProtection>[10] ni=31178
 122  ROGameReplicationInfo  prop MapBoundaries                      obj<ROVolumeMapBoundary>[10] ni=31179
 123  ROGameReplicationInfo  prop ResupplyAreas                      struct ResupplyInfo[16] ni=31180
 124  ROGameReplicationInfo  prop ObjCappers                         struct ObjCappersInfo[16] ni=31181
 125  ROGameReplicationInfo  prop Proximity3DVOIPSetting             byte                   ni=31193
 126  ROGameReplicationInfo  prop TeamWithOvertimeAdvantage          byte                   ni=31194
 127  ROGameReplicationInfo  prop SquadSpawnMethod                   byte(enum EROSquadSpawnMethod)[2] ni=31195
 128  ROGameReplicationInfo  prop bHasHelicopters                    byte[2]                ni=31196
 129  ROGameReplicationInfo  prop PlayersAliveCount                  byte[2]                ni=31197
 130  ROGameReplicationInfo  prop NoTunnelsEnabled                   byte[16]               ni=31198
 131  ROGameReplicationInfo  prop EnemySpottedMode                   byte                   ni=31199
 132  ROGameReplicationInfo  prop CurrentControlledBreathingZoomType byte                   ni=31200
 133  ROGameReplicationInfo  prop PlayerHitSoundMode                 byte                   ni=31201
 134  ROGameReplicationInfo  prop VehicleCrewDamageMode              byte                   ni=31202
 135  ROGameReplicationInfo  prop TankTurretDamageMode               byte                   ni=31203
 136  ROGameReplicationInfo  prop VehicleMobilityDamageMode          byte                   ni=31204
 137  ROGameReplicationInfo  prop RoleOverrideMode                   byte                   ni=31205
 138  ROGameReplicationInfo  prop RealismMode                        byte                   ni=31206
 139  ROGameReplicationInfo  prop ReachedObjectiveIndex              byte[2]                ni=31207
 140  ROGameReplicationInfo  prop bAntiAirAvailable                  byte[2]                ni=31208
 141  ROGameReplicationInfo  prop bArtilleryAvailable                byte[2]                ni=31209
 142  ROGameReplicationInfo  prop FriendlyPlayerNames                byte                   ni=31210
 143  ROGameReplicationInfo  prop DefendingTeam                      byte                   ni=31211
 144  ROGameReplicationInfo  prop CutOffTimer                        byte                   ni=31212
 145  ROGameReplicationInfo  prop CampaignAttackingTeamPerTurn       byte[23]               ni=31213
 146  ROGameReplicationInfo  prop CampaignWinningTeamPerTurn         byte[23]               ni=31214
 147  ROGameReplicationInfo  prop CampaignNextTurnSAAvail            byte[2]                ni=31215
 148  ROGameReplicationInfo  prop CampaignTurn                       byte                   ni=31216
 149  ROGameReplicationInfo  prop CampaignWarPhase                   byte(enum EROCampaignWarPhase) ni=31217
 150  ROGameReplicationInfo  prop CampaignLength                     byte(enum ROCampaignLength) ni=31218
 151  ROGameReplicationInfo  prop CampaignFactionOverrides           byte[2]                ni=31219
 152  ROGameReplicationInfo  prop CampaignTheatre                    byte                   ni=31220
 153  ROGameReplicationInfo  prop CampaignRegionMultipliers          byte[12]               ni=31221
 154  ROGameReplicationInfo  prop CampaignSpecialAbilityNoVotes      byte                   ni=31222
 155  ROGameReplicationInfo  prop CampaignSpecialAbilityYesVotes     byte                   ni=31223
 156  ROGameReplicationInfo  prop CampaignSouthFactionVoteCount      byte                   ni=31224
 157  ROGameReplicationInfo  prop CampaignNorthFactionVoteCount      byte                   ni=31225
 158  ROGameReplicationInfo  prop CampaignSouthFactionVotes          byte[5]                ni=31226
 159  ROGameReplicationInfo  prop CampaignNorthFactionVotes          byte[5]                ni=31227
 160  ROGameReplicationInfo  prop CampaignRegionMapVoteCount         byte                   ni=31228
 161  ROGameReplicationInfo  prop CampaignRegionMapVotes             byte[5]                ni=31229
 162  ROGameReplicationInfo  prop CampaignRegionVoteCount            byte                   ni=31230
 163  ROGameReplicationInfo  prop CampaignRegionVotes                byte[12]               ni=31231
 164  ROGameReplicationInfo  prop CampaignDefendVotes                byte                   ni=31232
 165  ROGameReplicationInfo  prop CampaignAttackVotes                byte                   ni=31233
 166  ROGameReplicationInfo  prop CampaignPreviousRegionOwner        byte                   ni=31234
 167  ROGameReplicationInfo  prop CampaignCurrentRegion              byte                   ni=31235
 168  ROGameReplicationInfo  prop CampaignPreviousAttacker           byte                   ni=31236
 169  ROGameReplicationInfo  prop CampaignAttacker                   byte                   ni=31237
 170  ROGameReplicationInfo  prop CampaignTeamCasualtyPercentage     byte[2]                ni=31238
 171  ROGameReplicationInfo  prop CampaignTeamCombatPowerLost        byte[2]                ni=31239
 172  ROGameReplicationInfo  prop CampaignRegionOwners               byte[12]               ni=31240
 173  ROGameReplicationInfo  prop MiniObjectiveStatus                byte[16]               ni=31241
 174  ROGameReplicationInfo  prop ObjectiveConnectedToBase           byte[16]               ni=31242
 175  ROGameReplicationInfo  prop ObjectiveSatchelProgress           byte[16]               ni=31243
 176  ROGameReplicationInfo  prop ObjectiveCapProgress               byte[16]               ni=31244
 177  ROGameReplicationInfo  prop ObjectiveForceRatio                byte[16]               ni=31245
 178  ROGameReplicationInfo  prop ObjectiveStatus                    byte[16]               ni=31246
 179  ROGameReplicationInfo  prop ObjectiveRepIndices                byte[16]               ni=31247
 180  ROGameReplicationInfo  prop RoleInfoItemsIdx                   byte                   ni=31248
 181  ROGameReplicationInfo  prop MaxTeamDifference                  byte                   ni=31249
 182  ROGameReplicationInfo  prop MaxPlayers                         byte                   ni=31250
 183  ROGameReplicationInfo  func ServerZeroReinforcements           (rpc)                  ni=31370
