# ROPlayerController  maxHandle=531
   h  class                  kind name                               type                   netindex
  95  PlayerController       func ClientDrawKismetText               (rpc)                  ni=4631
  96  PlayerController       func ClientClearKismetText              (rpc)                  ni=4634
  97  PlayerController       func ServerCauseEvent                   (rpc)                  ni=4647
  98  PlayerController       func ServerRemoteEvent                  (rpc)                  ni=4655
  99  PlayerController       func ClientPlayForceFeedbackWaveform    (rpc)                  ni=4670
 100  PlayerController       func ClientStopForceFeedbackWaveform    (rpc)                  ni=4672
 101  PlayerController       func ClientSetCinematicMode             (rpc)                  ni=4691
 102  PlayerController       func ClientForceGarbageCollection       (rpc)                  ni=4704
 103  PlayerController       func ClientUpdateLevelStreamingStatus   (rpc)                  ni=4714
 104  PlayerController       func ServerUpdateLevelVisibility        (rpc)                  ni=4717
 105  PlayerController       func ClientPrepareMapChange             (rpc)                  ni=4722
 106  PlayerController       func ClientCommitMapChange              (rpc)                  ni=4724
 107  PlayerController       func ClientCancelPendingMapChange       (rpc)                  ni=4725
 108  PlayerController       func ClientFlushLevelStreaming          (rpc)                  ni=4726
 109  PlayerController       func ClientSetBlockOnAsyncLoading       (rpc)                  ni=4727
 110  PlayerController       func ClientSetOnlineStatus              (rpc)                  ni=4757
 111  PlayerController       func ClientVoiceHandshakeComplete       (rpc)                  ni=4761
 112  PlayerController       func ClientMutePlayer                   (rpc)                  ni=4764
 113  PlayerController       func ClientUnmutePlayer                 (rpc)                  ni=4768
 114  PlayerController       func ClientGameplayMute                 (rpc)                  ni=4773
 115  PlayerController       func ClientGameplayUnmute               (rpc)                  ni=4776
 116  PlayerController       func ServerMutePlayer                   (rpc)                  ni=4785
 117  PlayerController       func ServerUnmutePlayer                 (rpc)                  ni=4789
 118  PlayerController       func ClientWasKicked                    (rpc)                  ni=4797
 119  PlayerController       func ClientRegisterForArbitration       (rpc)                  ni=4798
 120  PlayerController       func ServerRegisteredForArbitration     (rpc)                  ni=4803
 121  PlayerController       func ClientArbitratedMatchEnded         (rpc)                  ni=4834
 122  PlayerController       func ClientWriteOnlinePlayerScores      (rpc)                  ni=4843
 123  PlayerController       func ClientWriteLeaderboardStats        (rpc)                  ni=4845
 124  PlayerController       func ClientSetHostUniqueId              (rpc)                  ni=4847
 125  PlayerController       func ClientStopNetworkedVoice           (rpc)                  ni=4849
 126  PlayerController       func ClientStartNetworkedVoice          (rpc)                  ni=4851
 127  PlayerController       func AddDebugText                       (rpc)                  ni=4874
 128  PlayerController       func RemoveDebugText                    (rpc)                  ni=4877
 129  PlayerController       func RemoveAllDebugStrings              (rpc)                  ni=4878
 130  PlayerController       func ClientRegisterHostStatGuid         (rpc)                  ni=4880
 131  PlayerController       func ServerRegisterClientStatGuid       (rpc)                  ni=4885
 132  PlayerController       func ClientStartOnlineGame              (rpc)                  ni=4887
 133  PlayerController       func ClientEndOnlineGame                (rpc)                  ni=4889
 134  PlayerController       func ClientTravelToSession              (rpc)                  ni=4948
 135  PlayerController       func ClientReturnToParty                (rpc)                  ni=4955
 136  PlayerController       func ClientControlMovieTexture          (rpc)                  ni=4982
 137  PlayerController       func ClientSetForceMipLevelsToBeResident (rpc)                  ni=4986
 138  PlayerController       func ClientPrestreamTextures            (rpc)                  ni=4991
 139  PlayerController       func ClientPlayCameraShake              (rpc)                  ni=5019
 140  PlayerController       func ClientStopCameraShake              (rpc)                  ni=5021
 141  PlayerController       func ClientPlayCameraAnim               (rpc)                  ni=5034
 142  PlayerController       func ClientStopCameraAnim               (rpc)                  ni=5036
 143  PlayerController       func ClientSpawnCameraLensEffect        (rpc)                  ni=5039
 144  PlayerController       func ServerLogScreenShotInfo            (rpc)                  ni=5198
 145  PlayerController       prop TargetEyeHeight                    float                  ni=34410
 146  PlayerController       prop TargetViewRotation                 struct Rotator         ni=35024
 147  GamePlayerController   func ClientPlayMovie                    (rpc)                  ni=1569
 148  GamePlayerController   func ClientStopMovie                    (rpc)                  ni=1574
 149  GamePlayerController   func ClientColorFade                    (rpc)                  ni=1591
 150  ROPlayerController     func ClientOnPossess                    (rpc)                  ni=8404
 151  ROPlayerController     func ClientOnDead                       (rpc)                  ni=8407
 152  ROPlayerController     func ChangeVivoxChannelsState           (rpc)                  ni=8413
 153  ROPlayerController     func ServerUpdatePlayerFOV              (rpc)                  ni=8430
 154  ROPlayerController     func ServerAdminLogin                   (rpc)                  ni=8468
 155  ROPlayerController     func ServerAdminLogOut                  (rpc)                  ni=8473
 156  ROPlayerController     func ServerAdmin                        (rpc)                  ni=8478
 157  ROPlayerController     func ServerKickBan                      (rpc)                  ni=8489
 158  ROPlayerController     func ServerRestartMap                   (rpc)                  ni=8493
 159  ROPlayerController     func ServerChangeMap                    (rpc)                  ni=8497
 160  ROPlayerController     func ServerSloMo                        (rpc)                  ni=8501
 161  ROPlayerController     func ServerSetSpeed                     (rpc)                  ni=8505
 162  ROPlayerController     func ServerROMutate                     (rpc)                  ni=8513
 163  ROPlayerController     func ClientPlayPainEffect               (rpc)                  ni=8570
 164  ROPlayerController     func ClientPlayEffectsCameraAnim        (rpc)                  ni=8592
 165  ROPlayerController     func ClientStopEffectsCameraAnim        (rpc)                  ni=8594
 166  ROPlayerController     func ClientPlayDamageCameraAnim         (rpc)                  ni=8613
 167  ROPlayerController     func ClientStopDamageCameraAnim         (rpc)                  ni=8615
 168  ROPlayerController     func ClientCameraReset                  (rpc)                  ni=8654
 169  ROPlayerController     func RemoveFromTeam                     (rpc)                  ni=8655
 170  ROPlayerController     func SelectTeam                         (rpc)                  ni=8660
 171  ROPlayerController     func SelectTeamFailed                   (rpc)                  ni=8663
 172  ROPlayerController     func ChangedTeams                       (rpc)                  ni=8675
 173  ROPlayerController     func ServerTeamLeaderTeamSwapCancelSupport (rpc)                  ni=8678
 174  ROPlayerController     func ClientCloseUnitSelectScene         (rpc)                  ni=8683
 175  ROPlayerController     func SelectRoleByClass                  (rpc)                  ni=8699
 176  ROPlayerController     func ServerEndDeadState                 (rpc)                  ni=8825
 177  ROPlayerController     func ClientStartFreeCamDeath            (rpc)                  ni=8826
 178  ROPlayerController     func ServerStartFreeCamDeath            (rpc)                  ni=8828
 179  ROPlayerController     func ClientUpdateSpectatorCameraSpeed   (rpc)                  ni=8868
 180  ROPlayerController     func ServerSetThirdPersonSpectate       (rpc)                  ni=8905
 181  ROPlayerController     func ServerSetRoamingSpectate           (rpc)                  ni=8906
 182  ROPlayerController     func ServerResetSpectateMode            (rpc)                  ni=8913
 183  ROPlayerController     func ServerNextSpectateMode             (rpc)                  ni=8918
 184  ROPlayerController     func ServerViewNextTarget               (rpc)                  ni=8919
 185  ROPlayerController     func ServerViewPrevTarget               (rpc)                  ni=8920
 186  ROPlayerController     func ServerViewMapViewpoint             (rpc)                  ni=8926
 187  ROPlayerController     func ClientUpdateViewMapViewpoint       (rpc)                  ni=8934
 188  ROPlayerController     func ClientTriggerTunnelPlacement       (rpc)                  ni=9003
 189  ROPlayerController     func ClientTriggerLegInjury             (rpc)                  ni=9004
 190  ROPlayerController     func ClientTriggerJoinedSquadAsVC       (rpc)                  ni=9005
 191  ROPlayerController     func ClientTriggerMapBoundary           (rpc)                  ni=9006
 192  ROPlayerController     func ClientTriggerSpawnProtection       (rpc)                  ni=9007
 193  ROPlayerController     func ClientTriggerRPGBackBlast          (rpc)                  ni=9008
 194  ROPlayerController     func ClientTriggerHidingFromAmericanSurveillance (rpc)                  ni=9009
 195  ROPlayerController     func ClientTriggerDestroyingEnemyTunnels (rpc)                  ni=9010
 196  ROPlayerController     func ClientTriggerSupremacyLineIsBroke  (rpc)                  ni=9011
 197  ROPlayerController     func ClientTriggerFriendlyFire          (rpc)                  ni=9012
 198  ROPlayerController     func ClientTriggerFriendlyFirePenalty   (rpc)                  ni=9013
 199  ROPlayerController     func ClientTriggerOutOfAmmo             (rpc)                  ni=9014
 200  ROPlayerController     func ClientTriggerBleeding              (rpc)                  ni=9015
 201  ROPlayerController     func SelectSquadLeader                  (rpc)                  ni=9033
 202  ROPlayerController     func ClientToggleCommandMenu            (rpc)                  ni=9047
 203  ROPlayerController     func ServerTellRadiomanInUse            (rpc)                  ni=9049
 204  ROPlayerController     func ShowPreGameServerAd                (rpc)                  ni=9063
 205  ROPlayerController     func ServerClosedServerAd               (rpc)                  ni=9064
 206  ROPlayerController     func ClientShowTeamSelect               (rpc)                  ni=9071
 207  ROPlayerController     func ClientShowRoleSelect               (rpc)                  ni=9079
 208  ROPlayerController     func ServerReOpenSpawnSelect            (rpc)                  ni=9100
 209  ROPlayerController     func ClientReOpenSpawnSelect            (rpc)                  ni=9101
 210  ROPlayerController     func ChangedRole                        (rpc)                  ni=9131
 211  ROPlayerController     func ChangedSquad                       (rpc)                  ni=9134
 212  ROPlayerController     func NotifyNewSquadLeader               (rpc)                  ni=9135
 213  ROPlayerController     func ServerSetVehicleLocked             (rpc)                  ni=9159
 214  ROPlayerController     func SelectRoleFailed                   (rpc)                  ni=9162
 215  ROPlayerController     func SpawnInfoChanged                   (rpc)                  ni=9173
 216  ROPlayerController     func UpdateReadyStatus                  (rpc)                  ni=9175
 217  ROPlayerController     func ServerSquadSay                     (rpc)                  ni=9190
 218  ROPlayerController     func ClientCloseLobbyScene              (rpc)                  ni=9211
 219  ROPlayerController     func ServerWinRound                     (rpc)                  ni=9214
 220  ROPlayerController     func MatchWon                           (rpc)                  ni=9243
 221  ROPlayerController     func ClientHideWinScreenAndShowScoreboard (rpc)                  ni=9245
 222  ROPlayerController     func ClientShowAfterActionReport        (rpc)                  ni=9247
 223  ROPlayerController     func ClientStartRoundSession            (rpc)                  ni=9250
 224  ROPlayerController     func ClientEndRoundSession              (rpc)                  ni=9257
 225  ROPlayerController     func ClientShowRoundStartScreen         (rpc)                  ni=9260
 226  ROPlayerController     func ClientHideRoundStartScreen         (rpc)                  ni=9261
 227  ROPlayerController     func RoundWon                           (rpc)                  ni=9284
 228  ROPlayerController     func DelayedShowWinScreen               (rpc)                  ni=9286
 229  ROPlayerController     func ClientShowHalfTimeScreen           (rpc)                  ni=9341
 230  ROPlayerController     func ClientCloseTeamWinScreen           (rpc)                  ni=9353
 231  ROPlayerController     func ServerSwitchTeams                  (rpc)                  ni=9371
 232  ROPlayerController     func DoDeathFade                        (rpc)                  ni=9377
 233  ROPlayerController     func StopDeathFade                      (rpc)                  ni=9378
 234  ROPlayerController     func IsForceRespawnAvailable            (rpc)                  ni=9475
 235  ROPlayerController     func ServerReceiveTeamLeaderCommand     (rpc)                  ni=9493
 236  ROPlayerController     func ServerReceiveTeamLeaderCommandLocation (rpc)                  ni=9502
 237  ROPlayerController     func ServerReceiveTeamLeaderCommandIndex (rpc)                  ni=9511
 238  ROPlayerController     func ServerReceiveTeamLeaderCommandPawn (rpc)                  ni=9520
 239  ROPlayerController     func ServerReceiveSquadLeaderCommand    (rpc)                  ni=9523
 240  ROPlayerController     func ServerReceiveSquadLeaderCommandLocation (rpc)                  ni=9527
 241  ROPlayerController     func ServerReceiveSquadLeaderCommandIndex (rpc)                  ni=9531
 242  ROPlayerController     func ServerReceiveSquadLeaderCommandPawn (rpc)                  ni=9535
 243  ROPlayerController     func ServerReceiveTankCommanderCommand  (rpc)                  ni=9538
 244  ROPlayerController     func ServerReceiveTankCommanderCommandLocation (rpc)                  ni=9542
 245  ROPlayerController     func ServerReceiveTankCommanderCommandIndex (rpc)                  ni=9546
 246  ROPlayerController     func ServerReceiveTankCommanderCommandPawn (rpc)                  ni=9550
 247  ROPlayerController     func ServerReceiveEnemySpotted          (rpc)                  ni=9594
 248  ROPlayerController     func ServerReceiveTunnelSpotted         (rpc)                  ni=9604
 249  ROPlayerController     func ClientReceiveEnemySpottedSlot      (rpc)                  ni=9606
 250  ROPlayerController     func ClientForceEnemySpottedUpdate      (rpc)                  ni=9613
 251  ROPlayerController     func ClientForceTunnelSpottedUpdate     (rpc)                  ni=9620
 252  ROPlayerController     func ServerAmmoRequest                  (rpc)                  ni=9632
 253  ROPlayerController     func ClientReceiveResupplyInfoSingleViaWeapon (rpc)                  ni=9636
 254  ROPlayerController     func ClientReceiveResupplyInfoSingle    (rpc)                  ni=9639
 255  ROPlayerController     func ClientReceiveResupplyInfo          (rpc)                  ni=9641
 256  ROPlayerController     func ServerConfirmOrder                 (rpc)                  ni=9658
 257  ROPlayerController     func ServerDenyOrder                    (rpc)                  ni=9661
 258  ROPlayerController     func ServerDenyAutoRespawn              (rpc)                  ni=9663
 259  ROPlayerController     func ServerUpdateTrack                  (rpc)                  ni=9665
 260  ROPlayerController     func ToggleMusic                        (rpc)                  ni=9672
 261  ROPlayerController     func ServerSetSpawnSelect               (rpc)                  ni=9679
 262  ROPlayerController     func ClientTempStopAutoSpawn            (rpc)                  ni=9680
 263  ROPlayerController     func ClientAlertDeadSquadLeader         (rpc)                  ni=9681
 264  ROPlayerController     func SetSpawnOption                     (rpc)                  ni=9687
 265  ROPlayerController     func SetHUDSpawnPenalty                 (rpc)                  ni=9700
 266  ROPlayerController     func ClientStopZoom                     (rpc)                  ni=9717
 267  ROPlayerController     func ServerSetHonorLevel                (rpc)                  ni=9782
 268  ROPlayerController     func ClientNotifyHonorLevelChanged      (rpc)                  ni=9784
 269  ROPlayerController     func UpdateXmasUnlocks                  (rpc)                  ni=9785
 270  ROPlayerController     func ServerStartVoiceChat               (rpc)                  ni=9827
 271  ROPlayerController     func ServerStartTeamVoiceChat           (rpc)                  ni=9830
 272  ROPlayerController     func ServerStartSquadVoiceChat          (rpc)                  ni=9834
 273  ROPlayerController     func ServerStartCommandVoiceChat        (rpc)                  ni=9837
 274  ROPlayerController     func ServerStartVehicleVoiceChat        (rpc)                  ni=9842
 275  ROPlayerController     func ServerStopVoiceChat                (rpc)                  ni=9846
 276  ROPlayerController     func ServerStartSpatializedVoiceChat    (rpc)                  ni=9847
 277  ROPlayerController     func TriggerVOIPEventByUniqueNetId      (rpc)                  ni=9868
 278  ROPlayerController     func ServerUseReleasePlayer             (rpc)                  ni=9896
 279  ROPlayerController     func ServerStopBandage                  (rpc)                  ni=9904
 280  ROPlayerController     func ServerAttemptMantle                (rpc)                  ni=9949
 281  ROPlayerController     func ClientIgnoreChangingSeatsInput     (rpc)                  ni=9966
 282  ROPlayerController     func ClientIgnoreChangingPositionsInput (rpc)                  ni=9972
 283  ROPlayerController     func ClientIgnoreFiringInput            (rpc)                  ni=9978
 284  ROPlayerController     func ServerEnableFocus                  (rpc)                  ni=10011
 285  ROPlayerController     func StartSeatChangeMessage             (rpc)                  ni=10071
 286  ROPlayerController     func StopSeatChangeMessage              (rpc)                  ni=10072
 287  ROPlayerController     func ClientStartExitVehicleFadeOut      (rpc)                  ni=10074
 288  ROPlayerController     func ClientStartExitVehicleFadeIn       (rpc)                  ni=10075
 289  ROPlayerController     func StartHeloRearmMessage              (rpc)                  ni=10080
 290  ROPlayerController     func UpdateHeloReArmTime                (rpc)                  ni=10082
 291  ROPlayerController     func StopHeloRearmMessage               (rpc)                  ni=10083
 292  ROPlayerController     func PulseHeloRearmMessage              (rpc)                  ni=10085
 293  ROPlayerController     func NotifyPilotKilled                  (rpc)                  ni=10087
 294  ROPlayerController     func ServerDriveWeaponEx                (rpc)                  ni=10178
 295  ROPlayerController     func ClientDrawLine                     (rpc)                  ni=10195
 296  ROPlayerController     func ClientDrawSphere                   (rpc)                  ni=10200
 297  ROPlayerController     func MantleServerMove                   (rpc)                  ni=10288
 298  ROPlayerController     func RMServerMove                       (rpc)                  ni=10298
 299  ROPlayerController     func CoverServerMove                    (rpc)                  ni=10314
 300  ROPlayerController     func ServerLeanRight                    (rpc)                  ni=10331
 301  ROPlayerController     func ServerLeanLeft                     (rpc)                  ni=10336
 302  ROPlayerController     func ClientSavePendingWeaponConfig      (rpc)                  ni=10387
 303  ROPlayerController     func ClientUpdatePaperdollLastHitZoneInfo (rpc)                  ni=10390
 304  ROPlayerController     func CacheDeathBlow                     (rpc)                  ni=10392
 305  ROPlayerController     func ServerFollow                       (rpc)                  ni=10395
 306  ROPlayerController     func ServerDoSpecialMove                (rpc)                  ni=10458
 307  ROPlayerController     func ServerEndSpecialMove               (rpc)                  ni=10460
 308  ROPlayerController     func ClientDictatedSpecialMove          (rpc)                  ni=10464
 309  ROPlayerController     func ServerPushOutOfCover               (rpc)                  ni=10472
 310  ROPlayerController     func ClientBreakFromCover               (rpc)                  ni=10489
 311  ROPlayerController     prop LastPlaceAmmoCrateTime             float                  ni=15785
 312  ROPlayerController     prop TeamSwapDisabledTime               int                    ni=15806
 313  ROPlayerController     prop iPlantedClaymoreMineCount          int                    ni=15808
 314  ROPlayerController     prop iPlantedC4ChargeCount              int                    ni=15809
 315  ROPlayerController     prop MyMGPRI                            obj<ROPlayerReplicationInfo> ni=15925
 316  ROPlayerController     prop NextRespawnTime                    int                    ni=15927
 317  ROPlayerController     prop RepBattleChatter                   struct ROReplicatedBattleChatter ni=15933
 318  ROPlayerController     prop SRIArray                           obj<ROSquadReplicationInfo>[10] ni=15953
 319  ROPlayerController     prop SRI                                obj<ROSquadReplicationInfo> ni=15954
 320  ROPlayerController     prop RepHitInfo                         struct ReplicatedHitInfo ni=15974
 321  ROPlayerController     prop KillCamInfo                        struct KillCameraInfo  ni=15997
 322  ROPlayerController     prop DelayedKillMessages                struct DelayedKillMessage[10] ni=16001
 323  ROPlayerController     prop ObjectiveName                      string                 ni=16044
 324  ROPlayerController     prop WeaponProficiencyCurrent           int[70]                ni=16093
 325  ROPlayerController     prop NumPlacedAmmoCrates                byte                   ni=16101
 326  ROPlayerController     prop NumPlantedTraps                    byte                   ni=16105
 327  ROPlayerController     prop CurrentViewpointSpectateMode       byte(enum ROViewpointSpectateModes) ni=16127
 328  ROPlayerController     prop CurrentSpectateMode                byte(enum ROSpectateModes) ni=16128
 329  ROPlayerController     prop SquadCapBonus                      byte                   ni=16130
 330  ROPlayerController     prop SquadSuppressionBonus              byte                   ni=16131
 331  ROPlayerController     prop ObjectiveIndex                     byte                   ni=16132
 332  ROPlayerController     prop OverriddenWeaponProficiencyLevel   byte                   ni=16133
 333  ROPlayerController     prop bKillerWasOnSameTeamAndHoldingNade bool                   ni=16161
 334  ROPlayerController     prop bWasHoldingLiveNadeWhenKilled      bool                   ni=16162
 335  ROPlayerController     prop bCanDisarmTripwireTrap             bool                   ni=16174
 336  ROPlayerController     prop bWasKilledByAA                     bool                   ni=16194
 337  ROPlayerController     prop bForcedSpectating                  bool                   ni=16202
 338  ROPlayerController     prop bIsBotCommander                    bool                   ni=16234
 339  ROPlayerController     func ServerCoverTransition              (rpc)                  ni=16428
 340  ROPlayerController     func ClientInvalidCoverClaim            (rpc)                  ni=16429
 341  ROPlayerController     func ClientRequestCoverTransition       (rpc)                  ni=16431
 342  ROPlayerController     func ServerAttemptDeployNoCover         (rpc)                  ni=16542
 343  ROPlayerController     func ClientStartMantle                  (rpc)                  ni=16545
 344  ROPlayerController     func ClientStartDynamicMantle           (rpc)                  ni=16548
 345  ROPlayerController     func ClientCampaignWon                  (rpc)                  ni=16630
 346  ROPlayerController     func ClientStartAttackDefendVote        (rpc)                  ni=16632
 347  ROPlayerController     func ClientWatchAttackDefendVote        (rpc)                  ni=16634
 348  ROPlayerController     func ServerSubmitAttackDefendVote       (rpc)                  ni=16636
 349  ROPlayerController     func ClientShowRegionTransition         (rpc)                  ni=16639
 350  ROPlayerController     func ClientResetingCampaign             (rpc)                  ni=16644
 351  ROPlayerController     func ClientCampaignInitPanelData        (rpc)                  ni=16646
 352  ROPlayerController     func ClientCampaignShowCampaignPanel    (rpc)                  ni=16648
 353  ROPlayerController     func ClientNotifyCampaignTeamBalance    (rpc)                  ni=16651
 354  ROPlayerController     func ClientNotifyCampaignTeamBalanceComplete (rpc)                  ni=16653
 355  ROPlayerController     func ClientAskToTeamBalance             (rpc)                  ni=16655
 356  ROPlayerController     func NotifyCampaignAutoBalanced         (rpc)                  ni=16656
 357  ROPlayerController     func ClientStartRegionVote              (rpc)                  ni=16662
 358  ROPlayerController     func ServerSubmitRegionVote             (rpc)                  ni=16668
 359  ROPlayerController     func ServerSubmitRegionMapVote          (rpc)                  ni=16672
 360  ROPlayerController     func ClientStartFactionVote             (rpc)                  ni=16680
 361  ROPlayerController     func ServerSubmitFactionVote            (rpc)                  ni=16685
 362  ROPlayerController     func ClientStartSpecialAbilityVote      (rpc)                  ni=16689
 363  ROPlayerController     func ServerSubmitSpecialAbilityVote     (rpc)                  ni=16693
 364  ROPlayerController     func ClientCampaignRegionVoteComplete   (rpc)                  ni=16707
 365  ROPlayerController     func ClientCampaignRegionMapVoteComplete (rpc)                  ni=16709
 366  ROPlayerController     func ClientCampaignFactionVoteComplete  (rpc)                  ni=16712
 367  ROPlayerController     func ClientCampaignReadyToTravel        (rpc)                  ni=16713
 368  ROPlayerController     func ClientCampaignSpecialAbilityVoteComplete (rpc)                  ni=16715
 369  ROPlayerController     func ServerSetSpawnViewTarget           (rpc)                  ni=16722
 370  ROPlayerController     func ServerSetSpawnVolumeViewTarget     (rpc)                  ni=16724
 371  ROPlayerController     func ClientClearRadioCallin             (rpc)                  ni=16735
 372  ROPlayerController     func NotifyCommanderAbilityRequested    (rpc)                  ni=16744
 373  ROPlayerController     func NotifyAbilityActive                (rpc)                  ni=16745
 374  ROPlayerController     func ServerRequestArtillery             (rpc)                  ni=16750
 375  ROPlayerController     func ServerArtyStrike                   (rpc)                  ni=16813
 376  ROPlayerController     func ServerNapalmStrike                 (rpc)                  ni=16824
