   0 Actor                  func DemoRecordSound ni=495
  78 ROPawn                 func ClientForceCrouch ni=5551
  79 ROPawn                 func SetDrawSelected ni=5585
  80 ROPawn                 func StopStunEffect ni=5639
  81 ROPawn                 func StartStunEffect ni=5643
  82 ROPawn                 func ClientDoSpecialMove ni=5653
  83 ROPawn                 func ClientCancelSpecialMove ni=5656
  84 ROPawn                 func ClientCancelRun2Cover ni=5691
  85 ROPawn                 func ServerNotifyMantleStarted ni=5706
  86 ROPawn                 func ServerUpdateDeployInfo ni=5733
  87 ROPawn                 func ClientMountLadder ni=5817
  88 ROPawn                 func ServerDismountLadder ni=5823
  89 ROPawn                 func ServerMountTurret ni=5828
  90 ROPawn                 func ClientResupplied ni=5843
  91 ROPawn                 func SuccumbToBotPossession ni=5927
  92 ROPawn                 func ServerPlaySpottedExplosiveSound ni=5969
  93 ROPawn                 func ClientStopCacheAndHighlightTraps ni=5970
  94 ROPawn                 func ToggleGrandfatherSpawnProtectionMessage ni=5989
  95 ROPawn                 func ClientRadioInUseHelper ni=6030
  96 ROPawn                 func ServerStopTunnelDestructionInProgress ni=6032
  97 ROPawn                 prop bBandaging ni=58647
  98 ROPawn                 prop bBipodDeployedNoCover ni=58649
  99 ROPawn                 prop bCrouchedForMantle ni=58670
 100 ROPawn                 prop bCurrentResupplyActive ni=58671
 101 ROPawn                 prop bDisarmingTrap ni=58677
 102 ROPawn                 prop bDoingSprintMantle ni=58679
 103 ROPawn                 prop bDrawSelectedIcon ni=58681
 104 ROPawn                 prop bDrawSelectedMesh ni=58682
 105 ROPawn                 prop bExposedToRain ni=58685
 106 ROPawn                 prop bForceUpdateLeanMaxLeft ni=58688
 107 ROPawn                 prop bForceUpdateLeanMaxRight ni=58689
 108 ROPawn                 prop bImmuneToSpawnProtection ni=58699
 109 ROPawn                 prop bIsInStationaryCover ni=58705
 110 ROPawn                 prop bIsPinned ni=58708
 111 ROPawn                 prop bIsPlayingDigAnim ni=58709
 112 ROPawn                 prop bIsTurreting ni=58710
 113 ROPawn                 prop bLeanLeft ni=58718
 114 ROPawn                 prop bLeanRight ni=58719
 115 ROPawn                 prop bMeleePulledback ni=58721
 116 ROPawn                 prop bNonBipodCrouchDeployed ni=58722
 117 ROPawn                 prop bRepWeaponAttachInAltState ni=58734
 118 ROPawn                 prop bSettingTrap ni=58738
 119 ROPawn                 prop bSlowlyDying ni=58743
 120 ROPawn                 prop bStopSprintingWhenExhausted ni=58746
 121 ROPawn                 prop bTouchingResupply ni=58749
 122 ROPawn                 prop bUseAltTrapAnim ni=58752
 123 ROPawn                 prop bUsedCarriedMGAmmo ni=58754
 124 ROPawn                 prop bWasInVolForTeamFlip ni=58759
 125 ROPawn                 prop bWeaponCanBeResupplied ni=58762
 126 ROPawn                 prop bWeaponIsEmpty ni=58764
 127 ROPawn                 prop bWeaponResting ni=58766
 128 ROPawn                 prop BleedingStatus ni=59271
 129 ROPawn                 prop bOnFireType ni=59272
 130 ROPawn                 prop CompressedSuppression ni=59274
 131 ROPawn                 prop CoverAction ni=59275
 132 ROPawn                 prop CoverActionLevel ni=59276
 133 ROPawn                 prop CoverType ni=59279
 134 ROPawn                 prop CurrentWeaponLevel ni=59283
 135 ROPawn                 prop FriendlyPlayerCollisionType ni=59287
 136 ROPawn                 prop HitZoneDebugByte ni=59289
 137 ROPawn                 prop HitZoneHealths ni=59290
 138 ROPawn                 prop KillingHitBoneIndex ni=59291
 139 ROPawn                 prop LegInjuryAmount ni=59295
 140 ROPawn                 prop NumBandages ni=59296
 141 ROPawn                 prop ReplicatedSpecialMove ni=59298
 142 ROPawn                 prop ServerFloorZ ni=59299
 143 ROPawn                 prop SimulatedWeaponEvent ni=59300
 144 ROPawn                 prop SlowDeathVariant ni=59301
 145 ROPawn                 prop StanceChangeAnimState ni=59307
 146 ROPawn                 prop VolumeEnterCountSpawnProt ni=59320
 147 ROPawn                 prop CurrentWeaponAttachmentClass ni=59344
 148 ROPawn                 prop Encumbrance ni=59858
 149 ROPawn                 prop LeanMax ni=59920
 150 ROPawn                 prop VolumeKillTime ni=60006
 151 ROPawn                 prop AmbientSound ni=60712
 152 ROPawn                 prop CategoryLastUsedWeapon ni=60747
 153 ROPawn                 prop MyRadio ni=60835
 154 ROPawn                 prop Turret ni=60881
 155 ROPawn                 prop WeaponAmbientSound ni=60893
 156 ROPawn                 prop DrivenWeaponPawn ni=62638
 157 ROPawn                 prop DynamicMantleInfo ni=62639
 158 ROPawn                 prop LastTakeHitInfo ni=62663
 159 ROPawn                 prop MantleCoverInfo ni=62665
 160 ROPawn                 prop RemoteFireLocation ni=62686
 161 ROPawn                 prop RemoteFreeAim ni=62687
 162 ROPawn                 prop RepCoverInfo ni=62688
 163 ROPawn                 prop RepDeployInfo ni=62689
 164 ROPawn                 prop SpecialMoveLocation ni=62696
 165 ROPawn                 prop VehicleSeatInteraction ni=62702
 166 ROPawn                 prop VehicleSeatTransition ni=62703
 167 ROPawn                 prop WeaponAttachmentInfoList ni=62707
